incident_id,host,component,pid,log_window,label
fb668c66,scaqat02adm01,systemd-modules-load,4931,"""Jul 27 18:04:39 scaqat02adm01 systemd-modules-load[4931]: Failed to find module 'rds_rdma'""",1
b1589684,scaqat02adm01,systemd,1,"""Jul 27 18:04:39 scaqat02adm01 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 18:04:39 scaqat02adm01 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""",1
3e200ca2,scaqat02adm01,exachkcfg,61472,"""Jul 27 18:06:48 scaqat02adm01 exachkcfg[61472]: Jul 27 18:06:45 scaqat02adm01.us.oracle.com sshd[56249]: error: Bind to port 22 on 10.214.194.173 failed: Cannot assign requested address.""",1
5e352e8e,scaqat02adm01,systemd,1,"""Jul 27 18:22:52 scaqat02adm01 systemd[1]: exadata-virtmon.service: Failed with result 'exit-code'.""
""Jul 27 18:22:52 scaqat02adm01 systemd[1]: exadata-virtmon.service: Failed to schedule restart job: Transaction for exadata-virtmon.service/restart is destructive (var.mount has 'stop' job queued, but 'start' is included in transaction).""
""Jul 27 18:22:52 scaqat02adm01 systemd[1]: exadata-virtmon.service: Failed with result 'exit-code'.""
""Jul 27 18:22:53 scaqat02adm01 systemd[1]: exadata-qmpmon.service: Failed with result 'exit-code'.""
""Jul 27 18:22:53 scaqat02adm01 systemd[1]: exadata-qmpmon.service: Failed to schedule restart job: Transaction for exadata-qmpmon.service/restart is destructive (dev-disk-by\\x2dlabel-SWAP.swap has 'stop' job queued, but 'start' is included in transaction).""
""Jul 27 18:22:53 scaqat02adm01 systemd[1]: exadata-qmpmon.service: Failed with result 'exit-code'.""",1
551ae434,scaqat02adm01,systemd-modules-load,5589,"""Jul 27 18:27:15 scaqat02adm01 systemd-modules-load[5589]: Failed to find module 'rds_rdma'""",1
5e07bcfd,scaqat02adm01,systemd,1,"""Jul 27 18:27:15 scaqat02adm01 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 18:27:15 scaqat02adm01 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""",1
e960d5b4,scaqat02adm02,systemd-modules-load,4875,"""Jul 27 18:11:47 scaqat02adm02 systemd-modules-load[4875]: Failed to find module 'rds_rdma'""",1
e65dea1b,scaqat02adm02,systemd,1,"""Jul 27 18:11:47 scaqat02adm02 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 18:11:47 scaqat02adm02 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""",1
d20360f5,scaqat02adm02,exachkcfg,58674,"""Jul 27 18:13:45 scaqat02adm02 exachkcfg[58674]: Jul 27 18:13:42 scaqat02adm02.us.oracle.com sshd[55006]: error: Bind to port 22 on 10.214.194.174 failed: Cannot assign requested address.""",1
da3c5419,localhost,dbus-daemon,72064,"""Jul 28 00:43:48 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:43:48 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""",-1
e3657394,localhost,systemd,1,"""Jul 28 00:45:10 localhost systemd[1]: systemd-logind.service: Failed with result 'timeout'.""
""Jul 28 00:45:10 localhost systemd[1]: Failed to start Login Service.""",1
17440370,scaqat02celadm01,systemd-modules-load,2122,"""Jul 27 17:47:45 scaqat02celadm01 systemd-modules-load[2122]: Failed to find module 'rds_rdma'""",1
14f04601,scaqat02celadm01,systemd,1,"""Jul 27 17:47:45 scaqat02celadm01 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 17:47:45 scaqat02celadm01 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""
""Jul 27 17:47:47 scaqat02celadm01 systemd[1]: sys-devices-pci0000:20-0000:20:01.1-0000:21:00.0-infiniband-mlx5_0.device: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit initialize_vf.service not found.""",1
422764b9,scaqat02celadm01,kernel,NA,"""Jul 27 17:47:59 scaqat02celadm01 kernel: mlx5_core 0000:21:00.0: mlx5_cmd_out_err:808:(pid 10408): INIT2RTR_QP(0x503) op_mod(0x0) failed, status bad parameter(0x3), syndrome (0x29e0df), err(-22)""
""Jul 27 17:47:59 scaqat02celadm01 kernel: RDS/IB: Failed to setup fastreg resources""",
7594a762,scaqat02celadm01,systemd-modules-load,2299,"""Jul 27 17:58:33 scaqat02celadm01 systemd-modules-load[2299]: Failed to find module 'rds_rdma'""",1
6bfd3774,scaqat02celadm01,systemd,1,"""Jul 27 17:58:33 scaqat02celadm01 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 17:58:33 scaqat02celadm01 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""
""Jul 27 17:58:35 scaqat02celadm01 systemd[1]: sys-devices-pci0000:20-0000:20:01.1-0000:21:00.0-infiniband-mlx5_0.device: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit initialize_vf.service not found.""",1
8169b201,scaqat02celadm01,kernel,NA,"""Jul 27 17:58:50 scaqat02celadm01 kernel: mlx5_core 0000:21:00.0: mlx5_cmd_out_err:808:(pid 10664): INIT2RTR_QP(0x503) op_mod(0x0) failed, status bad parameter(0x3), syndrome (0x29e0df), err(-22)""
""Jul 27 17:58:50 scaqat02celadm01 kernel: RDS/IB: Failed to setup fastreg resources""",
b967475b,scaqat02celadm01,kernel,NA,"""Jul 27 20:54:33 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.83,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:33 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.84,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:33 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.84,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:34 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.83,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:35 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.50,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:37 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.81,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:39 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.49,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:39 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.48,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:39 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.49,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:39 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.48,0> stalling for more than 1 min...(drops=10 err=0)""",0
