incident_id,host,component,log_window,label,confidence,reason,evidence,llm_status,llm_label,llm_reason
fb668c66,scaqat02adm01,systemd-modules-load,"""Jul 27 18:04:39 scaqat02adm01 systemd-modules-load[4931]: Failed to find module 'rds_rdma'""",1,0.9452,known-emb-match,38403638,,,
b1589684,scaqat02adm01,systemd,"""Jul 27 18:04:39 scaqat02adm01 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 18:04:39 scaqat02adm01 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""",1,0.9776,known-emb-match,38403638,,,
3e200ca2,scaqat02adm01,exachkcfg,"""Jul 27 18:06:48 scaqat02adm01 exachkcfg[61472]: Jul 27 18:06:45 scaqat02adm01.us.oracle.com sshd[56249]: error: Bind to port 22 on 10.214.194.173 failed: Cannot assign requested address.""",-1,0.5892,novel-or-ambiguous,,skipped,,skipped_by_threshold
5e352e8e,scaqat02adm01,systemd,"""Jul 27 18:22:52 scaqat02adm01 systemd[1]: exadata-virtmon.service: Failed with result 'exit-code'.""
""Jul 27 18:22:52 scaqat02adm01 systemd[1]: exadata-virtmon.service: Failed to schedule restart job: Transaction for exadata-virtmon.service/restart is destructive (var.mount has 'stop' job queued, but 'start' is included in transaction).""
""Jul 27 18:22:52 scaqat02adm01 systemd[1]: exadata-virtmon.service: Failed with result 'exit-code'.""
""Jul 27 18:22:53 scaqat02adm01 systemd[1]: exadata-qmpmon.service: Failed with result 'exit-code'.""
""Jul 27 18:22:53 scaqat02adm01 systemd[1]: exadata-qmpmon.service: Failed to schedule restart job: Transaction for exadata-qmpmon.service/restart is destructive (dev-disk-by\\x2dlabel-SWAP.swap has 'stop' job queued, but 'start' is included in transaction).""
""Jul 27 18:22:53 scaqat02adm01 systemd[1]: exadata-qmpmon.service: Failed with result 'exit-code'.""",-1,0.3378,novel-or-ambiguous,,novel,-1,Multiple services failed with exit-code; requires investigation to determine root cause.
551ae434,scaqat02adm01,systemd-modules-load,"""Jul 27 18:27:15 scaqat02adm01 systemd-modules-load[5589]: Failed to find module 'rds_rdma'""",1,0.9475,known-emb-match,38403638,,,
5e07bcfd,scaqat02adm01,systemd,"""Jul 27 18:27:15 scaqat02adm01 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 18:27:15 scaqat02adm01 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""",1,0.9776,known-emb-match,38403638,,,
e960d5b4,scaqat02adm02,systemd-modules-load,"""Jul 27 18:11:47 scaqat02adm02 systemd-modules-load[4875]: Failed to find module 'rds_rdma'""",1,0.9442,known-emb-match,38403638,,,
e65dea1b,scaqat02adm02,systemd,"""Jul 27 18:11:47 scaqat02adm02 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 18:11:47 scaqat02adm02 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""",1,0.9776,known-emb-match,38403638,,,
d20360f5,scaqat02adm02,exachkcfg,"""Jul 27 18:13:45 scaqat02adm02 exachkcfg[58674]: Jul 27 18:13:42 scaqat02adm02.us.oracle.com sshd[55006]: error: Bind to port 22 on 10.214.194.174 failed: Cannot assign requested address.""",-1,0.5896,novel-or-ambiguous,,skipped,,skipped_by_threshold
da3c5419,localhost,dbus-daemon,"""Jul 28 00:43:48 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:43:48 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:43:49 localhost dbus-daemon[72064]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""",-1,0.4253,novel-or-ambiguous,,decided,0,Repeated activation failures for a non-existent service are common and can be ignored.
e3657394,localhost,systemd,"""Jul 28 00:45:10 localhost systemd[1]: systemd-logind.service: Failed with result 'timeout'.""
""Jul 28 00:45:10 localhost systemd[1]: Failed to start Login Service.""",-1,0.3853,novel-or-ambiguous,,novel,-1,Login Service failure due to timeout needs investigation for potential underlying issues.
17440370,scaqat02celadm01,systemd-modules-load,"""Jul 27 17:47:45 scaqat02celadm01 systemd-modules-load[2122]: Failed to find module 'rds_rdma'""",1,0.9281,known-emb-match,38403638,,,
14f04601,scaqat02celadm01,systemd,"""Jul 27 17:47:45 scaqat02celadm01 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 17:47:45 scaqat02celadm01 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""
""Jul 27 17:47:47 scaqat02celadm01 systemd[1]: sys-devices-pci0000:20-0000:20:01.1-0000:21:00.0-infiniband-mlx5_0.device: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit initialize_vf.service not found.""",1,0.8376,known-emb-match,38403638,,,
422764b9,scaqat02celadm01,kernel,"""Jul 27 17:47:59 scaqat02celadm01 kernel: mlx5_core 0000:21:00.0: mlx5_cmd_out_err:808:(pid 10408): INIT2RTR_QP(0x503) op_mod(0x0) failed, status bad parameter(0x3), syndrome (0x29e0df), err(-22)""
""Jul 27 17:47:59 scaqat02celadm01 kernel: RDS/IB: Failed to setup fastreg resources""",-1,0.3547,novel-or-ambiguous,,novel,-1,"The error indicates a bad parameter in mlx5_cmd_out, which may require further investigation."
7594a762,scaqat02celadm01,systemd-modules-load,"""Jul 27 17:58:33 scaqat02celadm01 systemd-modules-load[2299]: Failed to find module 'rds_rdma'""",1,0.9424,known-emb-match,38403638,,,
6bfd3774,scaqat02celadm01,systemd,"""Jul 27 17:58:33 scaqat02celadm01 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 17:58:33 scaqat02celadm01 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""
""Jul 27 17:58:35 scaqat02celadm01 systemd[1]: sys-devices-pci0000:20-0000:20:01.1-0000:21:00.0-infiniband-mlx5_0.device: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit initialize_vf.service not found.""",1,0.8376,known-emb-match,38403638,,,
