incident_id,host,component,log_window,message_count,message_structure,label,reason,k0_sim,i0_sim,dev_feedback
0afacd7e8200,scaqah07adm01 | scaqah07adm02 | scaqah07celadm01 | scaqah07celadm02 | scaqah07celadm03 | scaz33adm01 | scaz33adm02 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqar06adm05 | scaqar06adm06 | scaqar06celadm07 | scaqar06celadm08 | scaqar06celadm09 | scaqar06dv0501m | scaqar06dv0502m | scaqar06dv0503m | scaqar06dv0504m | scaqar06dv0601m | scaqar06dv0602m | scaqar06dv0603m | scaqar06dv0604m | scaqar06dv0501 | scaqar06dv0502 | scaqar06dv0503 | scaqar06dv0504 | scaqar06dv0601 | scaqar06dv0602 | scaqar06dv0603 | scaqar06dv0604 | scaqah07adm07 | scaqah07adm08 | scaqah07celadm10 | scaqah07celadm11 | scaqah07celadm12 | scaqah07adm03vm01 | scaqah07adm04vm01 | scaqah07celadm04 | scaqah07celadm05 | scaqah07celadm06 | scaqat10adm03 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqan01adm03 | scaqan01adm04 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqae03celadm07 | scaqae03celadm08 | scaqae03celadm09 | scaqat10adm01 | scaqat10adm02,nscd,nscd: 10971 stat failed for file `/etc/resolv.conf'; will try again later: No such file or directory,66,nscd: <num> stat failed for file `/etc/resolv.conf'; will try again later: no such file or directory,-1,needs-arbitration,0.3500273823738098,0.3856576085090637,
cb3b525aaff3,scaqah07adm01 | scaqah07adm02 | scaqah07celadm01 | scaqah07celadm02 | scaqah07celadm03 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqah07celadm10 | scaqah07celadm11 | scaqah07celadm12 | scacac04celadm07 | scacac04celadm08 | scacac04celadm09 | scacad02adm14 | scacad02dv1401 | scacad02dv1402 | scacad03adm14 | scacad03dv1401 | scacad03dv1402 | scaqah07adm03vm01 | scaqah07adm04vm01 | scaqah07celadm04 | scaqah07celadm05 | scaqah07celadm06 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqaw03adm03vm01 | scaqaw03adm03vm02 | scaqaw03adm03vm03 | scaqaw03adm03vm04 | scaqaw03adm03vm05 | scaqaw03adm03vm06 | scaqaw03adm03vm07 | scaqaw03adm03vm08 | scaqaw03adm04vm01 | scaqaw03adm04vm02 | scaqaw03adm04vm03 | scaqaw03adm04vm04 | scaqaw03adm04vm05 | scaqaw03adm04vm06 | scaqaw03adm04vm07 | scaqaw03adm04vm08 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqae03celadm07 | scaqae03celadm08 | scaqae03celadm09,systemd,"systemd: uptrack-prefetch.service: Failed with result 'exit-code'.
systemd: Failed to start Prefetch new Ksplice updates.",322,"systemd: uptrack-prefetch.service: failed with result '<str>'.
systemd: failed to start prefetch new ksplice updates.",-1,needs-arbitration,0.39930835366249084,0.4999752938747406,
e10c4d0e9383,scaqah07adm01 | scaqah07celadm01 | scaqah07celadm02 | scaqah07celadm03,systemd,systemd: exadata-netdiag-dump.service: Failed with result 'timeout'.,4,systemd: exadata-netdiag-dump.service: failed with result '<str>'.,-1,needs-arbitration,0.6241747736930847,0.4771127998828888,
2d959315af4b,scaqah07adm01 | scaqah07celadm01 | scaz33adm01 | scaz33dv0101 | scaz33dv0102 | scaqah07adm07 | scaqah07celadm10 | scaqah07adm03vm01 | scaqah07celadm04 | scaqat10adm03 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqaw03adm03 | scaqaw03adm03vm01 | scaqaw03adm03vm02 | scaqaw03adm03vm03 | scaqaw03adm03vm04 | scaqaw03adm03vm05 | scaqaw03adm03vm06 | scaqaw03adm03vm07 | scaqaw03adm03vm08 | scaqan01dv0301 | scaqan01dv0302 | scaqae03adm05vm01 | scaqae03celadm07 | scaqat10adm01,systemd,systemd: selinux-autorelabel.service: Failed with result 'signal'.,26,systemd: selinux-autorelabel.service: failed with result '<str>'.,-1,needs-arbitration,0.5908828973770142,0.5126495361328125,
64be4d1d2a2f,scaqah07adm01 | scaqah07adm02 | scaqah07celadm01 | scaqah07celadm02 | scaqah07celadm03 | scacac02celadm12 | scacac02celadm13 | scacac02celadm14 | scaz33adm01 | scaz33adm02 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqah07adm07 | scaqah07celadm10 | scaqah07celadm11 | scaqan01dv0502m | scaqah07adm05 | scaqah07celadm07 | scaqah07celadm08 | scaqai10adm05 | scaqai10celadm09 | scaqai10celadm10 | scaqah07adm03vm01 | scaqah07adm04vm01 | scaqah07celadm04 | scaqah07celadm05 | scaqat10adm03 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqat10celadm04 | scaqat10celadm05 | scaqat10celadm06 | scaqaw03adm03vm01 | scaqaw03adm03vm02 | scaqaw03adm03vm03 | scaqaw03adm03vm04 | scaqaw03adm03vm05 | scaqaw03adm03vm06 | scaqaw03adm03vm07 | scaqaw03adm03vm08 | scaqaw03adm04vm01 | scaqaw03adm04vm02 | scaqaw03adm04vm03 | scaqaw03adm04vm04 | scaqaw03adm04vm05 | scaqaw03adm04vm06 | scaqaw03adm04vm07 | scaqaw03adm04vm08 | scaqaj01adm01 | scaqaj01celadm15 | scaqaj01celadm16 | scaqan01adm03 | scaqan01adm04 | scaqan01celadm04 | scaqan01celadm05 | scaqan01celadm06 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqae03celadm07 | scaqae03celadm08 | scaqae03celadm09 | scaqai03celadm09 | scaqai03celadm10 | scaqai03dv0601m | scaqai03dv0602m | scaqar02dv0701m | scaqar02dv0801m | scaqat10v6adm04vm01 | scaqat10v6adm04vm02 | scaqat10v6adm04vm03 | scaqat10v6adm04vm04 | scaqat10adm01 | scaqat10celadm01 | scaqat10celadm02 | scaqat10celadm03 | scaqap19v6adm02vm02 | scaqap19v6adm03vm01 | scaqap19v6celadm02 | scaqap19v6celadm03 | scaqap19v6adm02vm01 | scaqap19v6adm03vm02,dbus-daemon,"dbus-daemon: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Refusing activation, D-Bus is shutting down.",262,"dbus-daemon: [system] activation via systemd failed for unit '<str>': refusing activation, d-bus is shutting down.",-1,needs-arbitration,0.5262035131454468,0.6008366346359253,
61747370e1ad,scaqah07adm01 | scaqah07celadm01 | scaz33adm01 | scaz33dv0101 | scaz33dv0102 | scaqah07adm07 | scaqah07celadm10 | scaqah07adm03vm01 | scaqah07celadm04 | scaqat10adm03 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqaw03adm03 | scaqaw03adm03vm01 | scaqaw03adm03vm02 | scaqaw03adm03vm03 | scaqaw03adm03vm04 | scaqaw03adm03vm05 | scaqaw03adm03vm06 | scaqaw03adm03vm07 | scaqaw03adm03vm08 | scaqan01adm03 | scaqan01dv0301 | scaqan01dv0302 | scaqae03adm05vm01 | scaqae03celadm07 | scaqat10adm01,selinux-autorelabel,selinux-autorelabel: Failed to connect to bus: No such file or directory,27,selinux-autorelabel: failed to connect to bus: no such file or directory,-1,needs-arbitration,0.533781111240387,0.43199875950813293,
961b66297bb9,scaqah07adm01 | scaqah07adm02 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqar06dv0501m | scaqar06dv0502m | scaqar06dv0503m | scaqar06dv0504m | scaqar06dv0601m | scaqar06dv0602m | scaqar06dv0603m | scaqar06dv0604m | scaqah07adm03vm01 | scaqah07adm04vm01 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqai03dv0501m | scaqai03dv0502m | scaqai03dv0601m | scaqai03dv0602m | scaqat10adm01,kernel,"kernel: device-mapper: multipath: Failing path 65:48.
kernel: sd 28:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 65:64.
kernel: device-mapper: multipath: Failing path 8:240.
kernel: sd 25:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 65:16.
kernel: sd 29:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 65:80.
kernel: sd 22:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 8:224.
kernel: sd 21:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 8:208.
kernel: sd 31:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 65:112.
kernel: sd 24:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 65:0.
kernel: sd 26:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 65:32.
kernel: sd 30:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 65:96.
kernel: sd 32:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 65:128.
kernel: device-mapper: multipath: Failing path 8:96.
kernel: sd 12:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 8:64.
kernel: sd 10:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 8:32.
kernel: sd 9:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 8:16.
kernel: sd 13:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 8:80.
kernel: sd 11:0:0:1: alua: rtpg failed, result 65536
kernel: device-mapper: multipath: Failing path 8:48.",830,"kernel: device-mapper: multipath: failing path <num>:<num>.
kernel: sd <num>:<num>:<num>:<num>: alua: rtpg failed, result <num>",-1,needs-arbitration,0.3806300461292267,0.4063076674938202,
9bcded5ede8f,scaqah07adm01 | scaqah07adm02 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqai10adm05 | scaqai10adm06 | scaqah07adm03vm01 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqaw03adm03vm06 | scaqaw03adm03vm07 | scaqaw03adm03vm08 | scaqaw03adm04vm06 | scaqaw03adm04vm07 | scaqaw03adm04vm08 | scaqaj01adm01 | scaqaj01adm02 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqai03dv0502m | scaqar02dv0701m | scaqar02dv0801m | scaqat10v6adm04vm01 | scaqat10adm01 | scaqat10adm02,multipath,"multipath: get_udev_device: failed to look up 8:64 with type 1
multipath: get_udev_device: failed to look up 8:112 with type 1
multipath: get_udev_device: failed to look up 8:160 with type 1
multipath: get_udev_device: failed to look up 8:208 with type 1
multipath: get_udev_device: failed to look up 65:0 with type 1
multipath: get_udev_device: failed to look up 8:32 with type 1
multipath: get_udev_device: failed to look up 8:80 with type 1
multipath: get_udev_device: failed to look up 8:128 with type 1
multipath: get_udev_device: failed to look up 8:176 with type 1
multipath: get_udev_device: failed to look up 8:224 with type 1
multipath: get_udev_device: failed to look up 8:48 with type 1
multipath: get_udev_device: failed to look up 8:144 with type 1
multipath: get_udev_device: failed to look up 8:192 with type 1
multipath: get_udev_device: failed to look up 8:240 with type 1
multipath: get_udev_device: failed to look up 65:32 with type 1
multipath: get_udev_device: failed to look up 8:64 with type 1
multipath: get_udev_device: failed to look up 65:0 with type 1
multipath: get_udev_device: failed to look up 65:128 with type 1
multipath: get_udev_device: failed to look up 65:96 with type 1",948,multipath: get_udev_device: failed to look up <num>:<num> with type <num>,-1,needs-arbitration,0.4292535185813904,0.44652777910232544,
1569734d91b2,scaqah07adm01,multipathd,"multipathd: sdt: mark as failed
multipathd: sdg: mark as failed
multipathd: sde: mark as failed
multipathd: sdc: mark as failed
multipathd: sdb: mark as failed
multipathd: sdf: mark as failed
multipathd: sdd: mark as failed
multipathd: sdp: mark as failed
multipathd: sdr: mark as failed
multipathd: sdo: mark as failed
multipathd: sdn: mark as failed
multipathd: sdq: mark as failed
multipathd: sds: mark as failed
multipathd: sdu: mark as failed
multipathd: sdv: mark as failed
multipathd: sdx: mark as failed
multipathd: sdw: mark as failed
multipathd: sdy: mark as failed",18,"multipathd: sdt: mark as failed
multipathd: sdg: mark as failed
multipathd: sde: mark as failed
multipathd: sdc: mark as failed
multipathd: sdb: mark as failed
multipathd: sdf: mark as failed
multipathd: sdd: mark as failed
multipathd: sdp: mark as failed
multipathd: sdr: mark as failed
multipathd: sdo: mark as failed
multipathd: sdn: mark as failed
multipathd: sdq: mark as failed
multipathd: sds: mark as failed
multipathd: sdu: mark as failed
multipathd: sdv: mark as failed
multipathd: sdx: mark as failed
multipathd: sdw: mark as failed
multipathd: sdy: mark as failed",-1,needs-arbitration,0.3797115981578827,0.38181185722351074,
44e7db82f550,scaqah07adm02 | scaqah07adm08 | scaqat10adm02,systemd,"systemd: grub-boot-success.service: Failed with result 'exit-code'.
systemd: grub-boot-success.service: Failed with result 'exit-code'.
systemd: Failed to start Mark boot as successful.
systemd: Failed to start Mark boot as successful.",32,"systemd: grub-boot-success.service: failed with result '<str>'.
systemd: failed to start mark boot as successful.",-1,needs-arbitration,0.5315823554992676,0.5919835567474365,
