incident_id,host,component,log_window,message_count,message_structure,label,reason,k0_sim,i0_sim,dev_feedback
fd99fe52ada4,scaqah07adm01 | scaqah07adm02 | scaz33adm01 | scaz33adm02 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqat10adm03 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqaw03adm03 | scaqaw03adm03vm01 | scaqaw03adm03vm02 | scaqaw03adm03vm03 | scaqaw03adm03vm04 | scaqaw03adm03vm05 | scaqaw03adm03vm06 | scaqaw03adm03vm07 | scaqaw03adm03vm08 | scaqaw03adm04 | scaqaw03adm04vm01 | scaqaw03adm04vm02 | scaqaw03adm04vm03 | scaqaw03adm04vm04 | scaqaw03adm04vm05 | scaqaw03adm04vm06 | scaqaw03adm04vm07 | scaqaw03adm04vm08 | scaqan01adm03 | scaqan01adm04 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqat10adm01 | scaqat10adm02,systemd,systemd: dbserverd.service: Failed with result 'exit-code'.,44,systemd: dbserverd.service: failed with result '<str>'.,0,ignore-emb-match,0.5694455504417419,0.8987802863121033,
30516867cc0d,scaqah07adm01 | scaqah07adm02 | scaqah07celadm01 | scaqah07celadm02 | scaqah07celadm03 | scacac02celadm12 | scacac02celadm13 | scacac02celadm14 | scaz33adm01 | scaz33adm02 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqan01adm05 | scaqan01adm06 | scaqan01adm07 | scaqan01adm08 | scaqan01celadm07 | scaqan01celadm08 | scaqan01celadm09 | scaqan01celadm10 | scaqan01celadm11 | scaqan01celadm12 | scaqan01dv0501m | scaqan01dv0502m | scaqan01dv0503m | scaqan01dv0504m | scaqan01dv0601m | scaqan01dv0602m | scaqan01dv0603m | scaqan01dv0604m | scaqan01dv0701m | scaqan01dv0702m | scaqan01dv0703m | scaqan01dv0704m | scaqan01dv0801m | scaqan01dv0803m | scaqan01dv0804m | scaqah07adm05 | scaqah07adm06 | scaqah07celadm07 | scaqah07celadm08 | scaqah07celadm09 | scaqai10adm05 | scaqai10adm06 | scaqai10celadm09 | scaqai10celadm10 | scaqai10celadm11 | scaqat10adm03 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqat10celadm04 | scaqat10celadm05 | scaqat10celadm06 | scaqaw03adm03 | scaqaw03adm03vm01 | scaqaw03adm03vm02 | scaqaw03adm03vm03 | scaqaw03adm03vm05 | scaqaw03adm03vm07 | scaqaw03adm03vm08 | scaqaw03adm04 | scaqaw03adm04vm01 | scaqaw03adm04vm02 | scaqaw03adm04vm03 | scaqaw03adm04vm05 | scaqaw03adm04vm06 | scaqaw03adm04vm07 | scaqaw03adm04vm08 | scaqaw03celadm04 | scaqaw03celadm05 | scaqaw03celadm06 | scaqaj01adm01 | scaqaj01adm02 | scaqaj01celadm15 | scaqaj01celadm16 | scaqaj01celadm17 | scaqan01adm03 | scaqan01adm04 | scaqan01celadm04 | scaqan01celadm05 | scaqan01celadm06 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqaw03celadm07 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqae03celadm07 | scaqae03celadm08 | scaqae03celadm09 | scaqai03celadm09 | scaqai03celadm10 | scaqai03celadm11 | scaqai03dv0501m | scaqai03dv0502m | scaqai03dv0601m | scaqai03dv0602m | scaqar02celadm10 | scaqar02celadm11 | scaqar02celadm12 | scaqat10v6adm03 | scaqat10v6adm03vm01 | scaqat10v6adm03vm02 | scaqat10v6adm03vm03 | scaqat10v6adm03vm04 | scaqat10v6adm04 | scaqat10v6adm04vm01 | scaqat10v6adm04vm02 | scaqat10v6adm04vm03 | scaqat10v6adm04vm04 | scaqat10v6celadm04 | scaqat10v6celadm05 | scaqat10v6celadm06 | scaqat10adm01 | scaqat10adm02 | scaqat10celadm01 | scaqat10celadm02 | scaqat10celadm03 | scaqap19v6adm01 | scaqap19v6adm01vm01 | scaqap19v6adm01vm02 | scaqap19v6adm02 | scaqap19v6adm02vm01 | scaqap19v6adm02vm02 | scaqap19v6adm03 | scaqap19v6adm03vm01 | scaqap19v6adm03vm02 | scaqap19v6adm04 | scaqap19v6adm04vm01 | scaqap19v6adm04vm02 | scaqap19v6celadm01 | scaqap19v6celadm02 | scaqap19v6celadm03 | scaqap19v6celadm04 | scaqap19v6celadm05 | scaqap19v6celadm06,systemd,"systemd: rdma-load-modules@rdma.service: Failed with result 'exit-code'.
systemd: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.",808,"systemd: rdma-load-modules@rdma.service: failed with result '<str>'.
systemd: failed to start load rdma modules from /etc/rdma/modules/rdma.conf.",1,known-emb-match,0.9773050546646118,0.4667455852031708,
6377b6bea031,scaqah07adm01 | scaqah07adm02 | scaz33dv0102 | scaz33dv0202 | scaqai10adm05 | scaqai10adm06 | scaqaw03adm03vm01 | scaqaw03adm03vm02 | scaqaw03adm03vm03 | scaqaw03adm03vm04 | scaqaw03adm03vm05 | scaqaw03adm03vm06 | scaqaw03adm03vm07 | scaqaw03adm03vm08 | scaqaw03adm04vm01 | scaqaw03adm04vm02 | scaqaw03adm04vm03 | scaqaw03adm04vm04 | scaqaw03adm04vm05 | scaqaw03adm04vm06 | scaqaw03adm04vm07 | scaqaw03adm04vm08 | scaqaj01adm01 | scaqaj01adm02 | scaqai03dv0502m | scaqai03dv0602m,systemd,systemd: oracle-ohasd.service: Failed with result 'signal'.,26,systemd: oracle-ohasd.service: failed with result '<str>'.,0,ignore-emb-match,0.517219066619873,0.7768106460571289,
10c0482dde74,scaqah07adm01 | scaqah07adm02 | scaz33adm01 | scaz33adm02 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqar06adm05 | scaqar06adm06 | scaqar06celadm07 | scaqar06celadm08 | scaqar06celadm09 | scaqar06dv0501m | scaqar06dv0502m | scaqar06dv0503m | scaqar06dv0504m | scaqar06dv0601m | scaqar06dv0602m | scaqar06dv0603m | scaqar06dv0604m | scaqar06dv0501 | scaqar06dv0502 | scaqar06dv0503 | scaqar06dv0504 | scaqar06dv0601 | scaqar06dv0602 | scaqar06dv0603 | scaqar06dv0604 | scaqah07adm07 | scaqah07adm08 | scaqah07adm03vm01 | scaqah07adm04vm01 | scaqat10adm03 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqan01adm03 | scaqan01adm04 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqat10adm01 | scaqat10adm02,dnf,dnf: Failed determining last makecache time.,140,dnf: failed determining last makecache time.,1,known-emb-match,0.9689831137657166,0.7593970894813538,
e3895829a911,scaqah07adm01 | scaqah07adm02 | scaqah07celadm01 | scaqah07celadm02 | scaqah07celadm03 | scacac02celadm12 | scacac02celadm13 | scacac02celadm14 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scacac04celadm07 | scacac04celadm08 | scacac04celadm09 | scaqan01celadm07 | scaqan01celadm08 | scaqan01celadm09 | scaqan01celadm10 | scaqan01celadm11 | scaqan01celadm12 | scaqan01dv0502m | scaqan01dv0601m | scaqan01dv0602m | scaqan01dv0701m | scaqan01dv0702m | scaqan01dv0801m | scaqah07celadm04 | scaqah07celadm05 | scaqah07celadm06 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqat10celadm04 | scaqat10celadm05 | scaqat10celadm06 | scaqaw03adm03 | scaqaw03adm04 | scaqaw03celadm04 | scaqaw03celadm05 | scaqaw03celadm06 | scaqan01celadm04 | scaqan01celadm05 | scaqan01celadm06 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqae03celadm07 | scaqae03celadm08 | scaqae03celadm09 | scaqai03celadm09 | scaqai03celadm10 | scaqai03celadm11 | scaqar02celadm10 | scaqar02celadm11 | scaqar02celadm12 | scaqar02dv0701m | scaqar02dv0801m | scaqat10v6celadm04 | scaqat10v6celadm05 | scaqat10v6celadm06 | scaqat10adm01 | scaqat10adm02 | scaqat10celadm01 | scaqat10celadm02 | scaqat10celadm03 | scaqap19v6celadm04,kernel,"kernel: RDS/IB: re-connect <::ffff:192.167.252.32,::ffff:192.167.252.3,0> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.32,::ffff:192.167.252.4,3> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.33,::ffff:192.167.252.4,5> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.33,::ffff:192.167.252.4,4> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.33,::ffff:192.167.252.3,0> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.33,::ffff:192.167.252.3,3> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.33,::ffff:192.167.252.4,0> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.32,::ffff:192.167.252.3,2> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.32,::ffff:192.167.252.4,5> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.32,::ffff:192.167.252.3,5> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.32,::ffff:192.167.252.3,4> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.32,::ffff:192.167.252.4,4> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.33,::ffff:192.167.252.3,5> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.33,::ffff:192.167.252.4,2> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.32,::ffff:192.167.252.4,2> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.33,::ffff:192.167.252.3,2> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.32,::ffff:192.167.252.4,0> stalling for more than 1 min...(drops=10 err=0)
kernel: RDS/IB: re-connect <::ffff:192.167.252.33,::ffff:192.167.252.3,4> stalling for more than 1 min...(drops=10 err=0)",4994,"kernel: rds/ib: re-connect <::ffff:<ip>,::ffff:<ip>,<num>> stalling for more than <num> min...(drops=<num> err=<num>)",0,ignore-emb-match,0.3678504526615143,0.812895655632019,
262d6684d69d,scaqah07adm01 | scaqah07adm02 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqai10adm05 | scaqai10adm06 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqaw03adm03vm01 | scaqaw03adm03vm02 | scaqaw03adm03vm03 | scaqaw03adm03vm04 | scaqaw03adm03vm05 | scaqaw03adm03vm06 | scaqaw03adm03vm07 | scaqaw03adm03vm08 | scaqaw03adm04vm01 | scaqaw03adm04vm02 | scaqaw03adm04vm03 | scaqaw03adm04vm04 | scaqaw03adm04vm05 | scaqaw03adm04vm06 | scaqaw03adm04vm07 | scaqaw03adm04vm08 | scaqaj01adm01 | scaqaj01adm02 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqai03dv0501m | scaqai03dv0502m | scaqai03dv0601m | scaqai03dv0602m | scaqar02dv0701m | scaqar02dv0801m,init.ohasd,"init.ohasd: CRS-4000: Command Stop failed, or completed with errors.",58,"init.ohasd: crs-<num>: command stop failed, or completed with errors.",0,ignore-emb-match,0.49703869223594666,0.8972171545028687,
e68c992119ad,scaqah07adm01 | scaqah07adm02 | scaqah07celadm01 | scaqah07celadm02 | scaqah07celadm03 | scacac02celadm12 | scacac02celadm13 | scacac02celadm14 | scaz33adm01 | scaz33adm02 | scaz33dv0101 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqan01adm05 | scaqan01adm06 | scaqan01adm07 | scaqan01adm08 | scaqan01celadm07 | scaqan01celadm08 | scaqan01celadm09 | scaqan01celadm10 | scaqan01celadm11 | scaqan01celadm12 | scaqan01dv0501m | scaqan01dv0502m | scaqan01dv0503m | scaqan01dv0504m | scaqan01dv0601m | scaqan01dv0602m | scaqan01dv0603m | scaqan01dv0604m | scaqan01dv0701m | scaqan01dv0702m | scaqan01dv0703m | scaqan01dv0704m | scaqan01dv0801m | scaqan01dv0803m | scaqan01dv0804m | scaqah07adm05 | scaqah07adm06 | scaqah07celadm07 | scaqah07celadm08 | scaqah07celadm09 | scaqai10adm05 | scaqai10adm06 | scaqai10celadm09 | scaqai10celadm10 | scaqai10celadm11 | scaqat10adm03 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqat10celadm04 | scaqat10celadm05 | scaqat10celadm06 | scaqaw03adm03 | scaqaw03adm03vm01 | scaqaw03adm03vm02 | scaqaw03adm03vm03 | scaqaw03adm03vm04 | scaqaw03adm03vm05 | scaqaw03adm03vm06 | scaqaw03adm03vm07 | scaqaw03adm03vm08 | scaqaw03adm04 | scaqaw03adm04vm01 | scaqaw03adm04vm02 | scaqaw03adm04vm03 | scaqaw03adm04vm04 | scaqaw03adm04vm05 | scaqaw03adm04vm06 | scaqaw03adm04vm07 | scaqaw03adm04vm08 | scaqaw03celadm04 | scaqaw03celadm05 | scaqaw03celadm06 | scaqaj01adm01 | scaqaj01adm02 | scaqaj01celadm15 | scaqaj01celadm16 | scaqaj01celadm17 | scaqan01adm03 | scaqan01adm04 | scaqan01celadm04 | scaqan01celadm05 | scaqan01celadm06 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqaw03celadm07 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqae03celadm07 | scaqae03celadm08 | scaqae03celadm09 | scaqai03celadm09 | scaqai03celadm10 | scaqai03celadm11 | scaqai03dv0501m | scaqai03dv0502m | scaqai03dv0601m | scaqai03dv0602m | scaqar02adm07 | scaqar02adm08 | scaqar02celadm10 | scaqar02celadm11 | scaqar02celadm12 | scaqar02dv0701m | scaqar02dv0801m | scaqat10v6adm03 | scaqat10v6adm03vm01 | scaqat10v6adm03vm02 | scaqat10v6adm03vm03 | scaqat10v6adm03vm04 | scaqat10v6adm04 | scaqat10v6adm04vm01 | scaqat10v6adm04vm02 | scaqat10v6adm04vm03 | scaqat10v6adm04vm04 | scaqat10v6celadm04 | scaqat10v6celadm05 | scaqat10v6celadm06 | scaqat10adm01 | scaqat10adm02 | scaqat10celadm01 | scaqat10celadm02 | scaqat10celadm03 | scaqap19v6adm01 | scaqap19v6adm01vm01 | scaqap19v6adm01vm02 | scaqap19v6adm02 | scaqap19v6adm02vm01 | scaqap19v6adm02vm02 | scaqap19v6adm03 | scaqap19v6adm03vm01 | scaqap19v6adm03vm02 | scaqap19v6adm04 | scaqap19v6adm04vm01 | scaqap19v6adm04vm02 | scaqap19v6celadm01 | scaqap19v6celadm02 | scaqap19v6celadm03 | scaqap19v6celadm04 | scaqap19v6celadm05 | scaqap19v6celadm06,systemd-modules-load,systemd-modules-load: Failed to find module 'rds_rdma',513,systemd-modules-load: failed to find module '<str>',1,known-emb-match,0.9373496770858765,0.44865208864212036,
f2d150340fcd,scaqah07adm02 | scaz33dv0102 | scaz33dv0201 | scaz33dv0202 | scaqar06dv0501m | scaqar06dv0502m | scaqar06dv0503m | scaqar06dv0504m | scaqar06dv0601m | scaqar06dv0602m | scaqar06dv0603m | scaqar06dv0604m | scacad02dv1401 | scacad02dv1402 | scacad03dv1401 | scacad03dv1402 | scaqah07adm03vm01 | scaqah07adm04vm01 | scaqat10adm03vm01 | scaqat10adm03vm02 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqaw03adm03vm06 | scaqaw03adm04vm06 | scaqaw03adm04vm07 | scaqaw03adm04vm08 | scaqan01dv0301 | scaqan01dv0302 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm05vm01 | scaqae03adm06vm01 | scaqar02dv0701m | scaqar02dv0801m | scaqat10adm01,iscsid,"iscsid: iscsid: connect to 192.167.252.32:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.32:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.32:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.32:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.32:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.32:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.32:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.32:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.32:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (Connection refused)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (Connection refused)",18380,iscsid: iscsid: connect to <ip>:<num> failed (connection refused),0,ignore-emb-match,0.3064119815826416,0.7928310632705688,
d4d24ac858ae,scaqah07adm02 | scaz33dv0201 | scaz33dv0202 | scaqar06dv0601m | scaqar06dv0603m | scaqar06dv0604m | scacad03dv1401 | scaqah07adm04vm01 | scaqat10adm04vm01 | scaqat10adm04vm02 | scaqaw03adm04vm06 | scaqaw03adm04vm07 | scaqaw03adm04vm08 | scaqan01dv0401 | scaqan01dv0402 | scaqae03adm06vm01 | scaqar02dv0701m | scaqar02dv0801m,iscsid,"iscsid: iscsid: connect to 192.167.252.32:3260 failed (No route to host)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (No route to host)
iscsid: iscsid: connect to 192.167.252.32:3260 failed (No route to host)
iscsid: iscsid: connect to 192.167.252.32:3260 failed (No route to host)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (No route to host)
iscsid: iscsid: connect to 192.167.252.33:3260 failed (No route to host)",3002,iscsid: iscsid: connect to <ip>:<num> failed (no route to host),0,ignore-emb-match,0.33125826716423035,0.85509192943573,
04a424ba0a3b,scaz33adm01 | scaz33adm02 | scacad02adm14 | scacad03adm14,systemd-modules-load,systemd-modules-load: Failed to insert 'opbmc': No such device,30,systemd-modules-load: failed to insert '<str>': no such device,1,known-emb-match,0.945029616355896,0.5339835286140442,
